"soilseriesiid","soilseriesname","soilseriesstatus","benchmarksoilflag","statsgoflag","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxminalogy","taxceactcl","taxreaction","taxtempcl","mlraoffice","areasymbol","areaname","areatypename","originyear","establishedyear","soiltaxclasslastupdated"
5630,"AABAB","Established",FALSE,FALSE,"FINE-SILTY, ISOTIC, ISOMESIC AQUANDIC DYSTRUDEPTS","Inceptisols","Udepts","Dystrudepts","Aquandic Dystrudepts","fine-silty",NA,"isotic",NA,NA,"isomesic","bozeman, mt","WA","Washington","State or Territory",NA,1978,1999
5631,"AABERG","Established",FALSE,TRUE,"FINE, SMECTITIC, FRIGID LEPTIC UDIC HAPLUSTERTS","Vertisols","Usterts","Haplusterts","Leptic Udic Haplusterts","fine",NA,"smectitic",NA,NA,"frigid","bozeman, mt","CO","Colorado","State or Territory",NA,1973,1999
5632,"AAGARD","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE CALCIC PACHIC ARGICRYOLLS","Mollisols","Cryolls","Argicryolls","Calcic Pachic Argicryolls","fine-loamy",NA,"mixed","superactive",NA,NA,"davis, ca","UT","Utah","State or Territory",2008,2011,2011
30200,"AAGIAK","Established",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, ACID HUMIC CRYAQUEPTS","Inceptisols","Aquepts","Cryaquepts","Humic Cryaquepts","loamy-skeletal",NA,"mixed","superactive","acid",NA,NA,"AK","Alaska","State or Territory",2024,NA,2024
5633,"AARON","Established",FALSE,TRUE,"FINE, MIXED, ACTIVE, MESIC OXYAQUIC HAPLUDALFS","Alfisols","Udalfs","Hapludalfs","Oxyaquic Hapludalfs","fine",NA,"mixed","active",NA,"mesic","morgantown, wv","KY","Kentucky","State or Territory",NA,1982,2001
5634,"AARUP","Established",FALSE,TRUE,"ASHY, GLASSY, MESIC, SHALLOW VITRITORRANDIC DURIXEROLLS","Mollisols","Xerolls","Durixerolls","Vitritorrandic Durixerolls","ashy",NA,"glassy",NA,NA,"mesic","bozeman, mt","WA","Washington","State or Territory",1990,1998,1998
5635,"AASTAD","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, FRIGID PACHIC ARGIUDOLLS","Mollisols","Udolls","Argiudolls","Pachic Argiudolls","fine-loamy",NA,"mixed","superactive",NA,"frigid","salina, ks","MN","Minnesota","State or Territory",NA,1951,2025
5636,"AAZDAHL","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, FRIGID AQUIC HAPLUDOLLS","Mollisols","Udolls","Hapludolls","Aquic Hapludolls","fine-loamy",NA,"mixed","superactive",NA,"frigid","salina, ks","MN","Minnesota","State or Territory",NA,1974,1999
5637,"ABAC","Established",FALSE,TRUE,"LOAMY, MIXED, SUPERACTIVE, FRIGID, SHALLOW TYPIC HAPLUSTEPTS","Inceptisols","Ustepts","Haplustepts","Typic Haplustepts","loamy",NA,"mixed","superactive",NA,"frigid","bozeman, mt","MT","Montana","State or Territory",NA,1970,2012
5638,"ABAFT","Established",FALSE,FALSE,"MIXED, THERMIC TYPIC XEROPSAMMENTS","Entisols","Psamments","Xeropsamments","Typic Xeropsamments",NA,NA,"mixed",NA,NA,"thermic","davis, ca","CA","California","State or Territory",2005,2005,2006
5639,"ABAJO","Established",FALSE,TRUE,"FINE, SMECTITIC, MESIC UDIC PALEUSTOLLS","Mollisols","Ustolls","Paleustolls","Udic Paleustolls","fine",NA,"smectitic",NA,NA,"mesic","davis, ca","UT","Utah","State or Territory",NA,1952,1997
5640,"ABALAN","Established",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC, SHALLOW XERIC HAPLARGIDS","Aridisols","Argids","Haplargids","Xeric Haplargids","loamy-skeletal",NA,"mixed","superactive",NA,"mesic","davis, ca","NV","Nevada","State or Territory",1989,2004,2004
5641,"ABALOBADIAH","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, ISOMESIC PACHIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Pachic Argiustolls","fine-loamy",NA,"mixed","superactive",NA,"isomesic","davis, ca","CA","California","State or Territory",NA,1993,2006
5642,"ABARCA","Tentative",FALSE,TRUE,"LOAMY-SKELETAL OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, FRIGID TORRIORTHENTIC HAPLUSTOLLS","Mollisols","Ustolls","Haplustolls","Torriorthentic Haplustolls","loamy-skeletal over sandy or sandy-skeletal",NA,"mixed","superactive",NA,"frigid","bozeman, mt","WY","Wyoming","State or Territory",1972,NA,2000
5643,"ABBAYE","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, ACTIVE, FRIGID ALFIC OXYAQUIC HAPLORTHODS","Spodosols","Orthods","Haplorthods","Alfic Oxyaquic Haplorthods","coarse-loamy",NA,"mixed","active",NA,"frigid","salina, ks","MI","Michigan","State or Territory",1983,NA,2003
5644,"ABBEYLAKE","Established",FALSE,FALSE,"MIXED, FRIGID TYPIC UDIPSAMMENTS","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,NA,"mixed",NA,NA,"frigid","salina, ks","MN","Minnesota","State or Territory",1992,1994,1997
5645,"ABBIE","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, THERMIC ARIDIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Aridic Argiustolls","fine-loamy",NA,"mixed","superactive",NA,"thermic","temple, tx","OK","Oklahoma","State or Territory",1994,1995,2016
24661,"ABBOTT","Established",TRUE,TRUE,"FINE, SMECTITIC, CALCAREOUS, MESIC VERTIC ENDOAQUEPTS","Inceptisols","Aquepts","Endoaquepts","Vertic Endoaquepts","fine",NA,"smectitic",NA,"calcareous","mesic","davis, ca","UT","Utah","State or Territory",NA,1919,2007
5646,"ABBOTTSTOWN","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, ACTIVE, MESIC AERIC FRAGIAQUALFS","Alfisols","Aqualfs","Fragiaqualfs","Aeric Fragiaqualfs","fine-loamy",NA,"mixed","active",NA,"mesic","morgantown, wv","PA","Pennsylvania","State or Territory",NA,1965,2001
5647,"ABBYVILLE","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC LEPTIC NATRUSTOLLS","Mollisols","Ustolls","Natrustolls","Leptic Natrustolls","fine-loamy",NA,"mixed","superactive",NA,"mesic","salina, ks","KS","Kansas","State or Territory",1995,1999,2003
5648,"ABCAL","Established",FALSE,TRUE,"FINE, MIXED, ACTIVE, CALCAREOUS, MESIC VERTIC ENDOAQUEPTS","Inceptisols","Aquepts","Endoaquepts","Vertic Endoaquepts","fine",NA,"mixed","active","calcareous","mesic","davis, ca","UT","Utah","State or Territory",NA,1971,2006
29294,"ABDALLAH","Established",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, ACID TYPIC CRYORTHENTS","Entisols","Orthents","Cryorthents","Typic Cryorthents","loamy-skeletal",NA,"mixed","superactive","acid",NA,"wasilla, AK","AK","Alaska","State or Territory",2017,2020,2020
5649,"ABEGG","Established",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC ULTIC HAPLOXERALFS","Alfisols","Xeralfs","Haploxeralfs","Ultic Haploxeralfs","loamy-skeletal",NA,"mixed","superactive",NA,"mesic","davis, ca","OR","Oregon","State or Territory",NA,1979,2000
5650,"ABELA","Established",FALSE,TRUE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC TYPIC CALCIXEROLLS","Mollisols","Xerolls","Calcixerolls","Typic Calcixerolls","loamy-skeletal",NA,"mixed","superactive",NA,"mesic","davis, ca","UT","Utah","State or Territory",NA,1969,2003
5651,"ABELL","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SEMIACTIVE, THERMIC AQUIC HAPLUDULTS","Ultisols","Udults","Hapludults","Aquic Hapludults","fine-loamy",NA,"mixed","semiactive",NA,"thermic","auburn, al","VA","Virginia","State or Territory",NA,1970,2002
5652,"ABENAKI","Established",FALSE,FALSE,"COARSE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, ACTIVE, FRIGID TYPIC DYSTRUDEPTS","Inceptisols","Udepts","Dystrudepts","Typic Dystrudepts","coarse-loamy over sandy or sandy-skeletal",NA,"mixed","active",NA,"frigid","morgantown, wv","NH","New Hampshire","State or Territory",NA,1999,2001
5653,"ABERDEEN","Established",TRUE,TRUE,"FINE, SMECTITIC, FRIGID GLOSSIC NATRUDOLLS","Mollisols","Udolls","Natrudolls","Glossic Natrudolls","fine",NA,"smectitic",NA,NA,"frigid","salina, ks","SD","South Dakota","State or Territory",NA,1925,1998
5654,"ABERNATHY","Established",FALSE,FALSE,"FINE-SILTY, SILICEOUS, SEMIACTIVE, THERMIC OXYAQUIC HAPLUDULTS","Ultisols","Udults","Hapludults","Oxyaquic Hapludults","fine-silty",NA,"siliceous","semiactive",NA,"thermic","auburn, al","AL","Alabama","State or Territory",NA,NA,2017
5655,"ABERONE","Established",FALSE,TRUE,"LOAMY-SKELETAL, CARBONATIC, MESIC ARIDIC HAPLUSTOLLS","Mollisols","Ustolls","Haplustolls","Aridic Haplustolls","loamy-skeletal",NA,"carbonatic",NA,NA,"mesic","bozeman, mt","WY","Wyoming","State or Territory",NA,1981,1993
5656,"ABERSITO","Established",FALSE,TRUE,"CLAYEY-SKELETAL, MIXED, ACTIVE, FRIGID TYPIC PALEUSTALFS","Alfisols","Ustalfs","Paleustalfs","Typic Paleustalfs","clayey-skeletal",NA,"mixed","active",NA,"frigid","davis, ca","NM","New Mexico","State or Territory",1984,1985,2000
5657,"ABERT","Established",FALSE,TRUE,"ASHY, GLASSY, FRIGID SODIC XERIC HAPLOCAMBIDS","Aridisols","Cambids","Haplocambids","Sodic Xeric Haplocambids","ashy",NA,"glassy",NA,NA,"frigid","davis, ca","OR","Oregon","State or Territory",1980,2006,2007
5658,"ABES","Established",FALSE,FALSE,"CLAYEY, SMECTITIC LITHIC ARGICRYOLLS","Mollisols","Cryolls","Argicryolls","Lithic Argicryolls","clayey",NA,"smectitic",NA,NA,NA,"davis, ca","UT","Utah","State or Territory",NA,1975,1999
26192,"ABESKNOLL","Tentative",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, FRIGID PACHIC PALEUSTOLLS","Mollisols","Ustolls","Paleustolls","Pachic Paleustolls","fine-loamy",NA,"mixed","superactive",NA,"frigid","davis, ca","UT","Utah","State or Territory",2010,NA,2018
5659,"ABEYTA","Established",FALSE,FALSE,"FINE, MIXED, SUPERACTIVE, FRIGID TYPIC CALCIUSTOLLS","Mollisols","Ustolls","Calciustolls","Typic Calciustolls","fine",NA,"mixed","superactive",NA,"frigid","bozeman, mt","CO","Colorado","State or Territory",2009,2018,2018
5660,"ABGESE","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC XERIC HAPLARGIDS","Aridisols","Argids","Haplargids","Xeric Haplargids","fine-loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","NV","Nevada","State or Territory",NA,1974,2003
5661,"ABILENE","Established",TRUE,TRUE,"FINE, MIXED, SUPERACTIVE, THERMIC PACHIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Pachic Argiustolls","fine",NA,"mixed","superactive",NA,"thermic","temple, tx","TX","Texas","State or Territory",1915,1915,2015
5662,"ABIN","Established",FALSE,TRUE,"FINE, MIXED, SUPERACTIVE, MESIC CUMULIC HAPLOXEROLLS","Mollisols","Xerolls","Haploxerolls","Cumulic Haploxerolls","fine",NA,"mixed","superactive",NA,"mesic","davis, ca","OR","Oregon","State or Territory",1988,1989,2003
1,"ABINGTON","Inactive",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IN","Indiana","State or Territory",NA,NA,1987
5565,"ABIQUA","Established",FALSE,TRUE,"FINE, MIXED, SUPERACTIVE, MESIC CUMULIC ULTIC HAPLOXEROLLS","Mollisols","Xerolls","Haploxerolls","Cumulic Ultic Haploxerolls","fine",NA,"mixed","superactive",NA,"mesic","bozeman, mt","OR","Oregon","State or Territory",NA,1970,2001
5566,"ABIQUIU","Established",FALSE,TRUE,"SANDY-SKELETAL, MIXED, MESIC OXYAQUIC USTIFLUVENTS","Entisols","Fluvents","Ustifluvents","Oxyaquic Ustifluvents","sandy-skeletal",NA,"mixed",NA,NA,"mesic","bozeman, mt","NM","New Mexico","State or Territory",1986,1989,2015
5567,"ABITA","Established",FALSE,TRUE,"FINE-SILTY, SILICEOUS, ACTIVE, THERMIC GLOSSAQUIC PALEUDALFS","Alfisols","Udalfs","Paleudalfs","Glossaquic Paleudalfs","fine-silty",NA,"siliceous","active",NA,"thermic","auburn, al","LA","Louisiana","State or Territory",NA,1985,2003
5569,"ABOR","Established",FALSE,TRUE,"FINE, SMECTITIC, FRIGID LEPTIC UDIC HAPLUSTERTS","Vertisols","Usterts","Haplusterts","Leptic Udic Haplusterts","fine",NA,"smectitic",NA,NA,"frigid","bozeman, mt","MT","Montana","State or Territory",NA,1971,2010
5570,"ABORIGINE","Established",FALSE,TRUE,"FINE, MIXED, SEMIACTIVE, ISOMESIC TYPIC ALBAQUULTS","Ultisols","Aquults","Albaquults","Typic Albaquults","fine",NA,"mixed","semiactive",NA,"isomesic","davis, ca","CA","California","State or Territory",1988,1993,2003
5571,"ABOTEN","Established",FALSE,TRUE,"LOAMY, MIXED, SUPERACTIVE, MESIC, SHALLOW NATRARGIDIC NATRIDURIDS","Aridisols","Durids","Natridurids","Natrargidic Natridurids","loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","NV","Nevada","State or Territory",1985,1988,2003
5572,"ABRA","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC USTIC HAPLOCALCIDS","Aridisols","Calcids","Haplocalcids","Ustic Haplocalcids","fine-loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","AZ","Arizona","State or Territory",NA,1971,2006
5573,"ABRACON","Established",FALSE,FALSE,"COARSE-LOAMY, MIXED, SUPERACTIVE, MESIC USTIC HAPLOCALCIDS","Aridisols","Calcids","Haplocalcids","Ustic Haplocalcids","coarse-loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","UT","Utah","State or Territory",1995,1997,1997
5574,"ABRAHAM","Established",FALSE,TRUE,"COARSE-SILTY, MIXED, SUPERACTIVE, CALCAREOUS, MESIC AQUIC XEROFLUVENTS","Entisols","Fluvents","Xerofluvents","Aquic Xerofluvents","coarse-silty",NA,"mixed","superactive","calcareous","mesic","davis, ca","UT","Utah","State or Territory",NA,1970,2003
5575,"ABRAM","Established",FALSE,TRUE,"LOAMY, ISOTIC, FRIGID LITHIC HAPLORTHODS","Spodosols","Orthods","Haplorthods","Lithic Haplorthods","loamy",NA,"isotic",NA,NA,"frigid","morgantown, wv","ME","Maine","State or Territory",1985,1987,2000
5576,"ABRAZO","Established",FALSE,TRUE,"FINE, MIXED, SUPERACTIVE, MESIC ARIDIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Aridic Argiustolls","fine",NA,"mixed","superactive",NA,"mesic","davis, ca","NM","New Mexico","State or Territory",NA,1979,2007
5577,"ABREU","Established",FALSE,TRUE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID UDIC HAPLUSTALFS","Alfisols","Ustalfs","Haplustalfs","Udic Haplustalfs","loamy-skeletal",NA,"mixed","superactive",NA,"frigid","bozeman, mt","NM","New Mexico","State or Territory",1969,1974,2018
5578,"ABROJO","Established",FALSE,FALSE,"ASHY-SKELETAL, GLASSY, NONACID, MESIC VITRITORRANDIC USTORTHENTS","Entisols","Orthents","Ustorthents","Vitritorrandic Ustorthents","ashy-skeletal",NA,"glassy",NA,"nonacid","mesic","bozeman, mt","NM","New Mexico","State or Territory",2001,2008,2008
5579,"ABSAQUIL","Established",FALSE,FALSE,"FINE, MIXED, ACTIVE, MESIC TYPIC HAPLOHUMULTS","Ultisols","Humults","Haplohumults","Typic Haplohumults","fine",NA,"mixed","active",NA,"mesic","bozeman, mt","OR","Oregon","State or Territory",1993,1993,2003
5580,"ABSAROKEE","Established",TRUE,TRUE,"FINE, SMECTITIC, FRIGID TYPIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Typic Argiustolls","fine",NA,"smectitic",NA,NA,"frigid","bozeman, mt","MT","Montana","State or Territory",NA,1963,2022
5581,"ABSAROOK","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, FRIGID TYPIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Typic Argiustolls","fine-loamy",NA,"mixed","superactive",NA,"frigid","bozeman, mt","MT","Montana","State or Territory",1993,1997,2012
5582,"ABSAY","Established",FALSE,FALSE,"FINE, MIXED, SUPERACTIVE, FRIGID ARIDIC LEPTIC NATRUSTALFS","Alfisols","Ustalfs","Natrustalfs","Aridic Leptic Natrustalfs","fine",NA,"mixed","superactive",NA,"frigid","bozeman, mt","MT","Montana","State or Territory",1994,1998,2011
5583,"ABSCO","Established",FALSE,FALSE,"SANDY, SILICEOUS, MESIC TYPIC UDIFLUVENTS","Entisols","Fluvents","Udifluvents","Typic Udifluvents","sandy",NA,"siliceous",NA,NA,"mesic","salina, ks","WI","Wisconsin","State or Territory",1992,1994,1995
5584,"ABSCOTA","Established",FALSE,TRUE,"MIXED, MESIC OXYAQUIC UDIPSAMMENTS","Entisols","Psamments","Udipsamments","Oxyaquic Udipsamments",NA,NA,"mixed",NA,NA,"mesic","morgantown, wv","MI","Michigan","State or Territory",NA,1965,2021
30452,"ABSEGAMI","Tentative",FALSE,FALSE,"COARSE-LOAMY, MIXED, SUBACTIVE, NONACID, MESIC HAPLIC SULFIWASSENTS","Entisols","Wassents","Sulfiwassents","Haplic Sulfiwassents","coarse-loamy",NA,"mixed","subactive","nonacid","mesic",NA,"NJ","New Jersey","State or Territory",2026,NA,2026
5585,"ABSHER","Established",TRUE,TRUE,"FINE, SMECTITIC, FRIGID LEPTIC TORRERTIC NATRUSTALFS","Alfisols","Ustalfs","Natrustalfs","Leptic Torrertic Natrustalfs","fine",NA,"smectitic",NA,NA,"frigid","bozeman, mt","MT","Montana","State or Territory",NA,1969,1999
5586,"ABSTED","Established",TRUE,TRUE,"FINE, SMECTITIC, MESIC HAPLIC USTIC NATRARGIDS","Aridisols","Argids","Natrargids","Haplic Ustic Natrargids","fine",NA,"smectitic",NA,NA,"mesic","bozeman, mt","WY","Wyoming","State or Territory",NA,1971,2002
5587,"ABSTON","Established",FALSE,TRUE,"FINE, SMECTITIC, FRIGID USTIC NATRARGIDS","Aridisols","Argids","Natrargids","Ustic Natrargids","fine",NA,"smectitic",NA,NA,"frigid","bozeman, mt","WY","Wyoming","State or Territory",1973,1985,1999
29028,"ABYSS","Established",FALSE,FALSE,"SANDY, MIXED TYPIC CRYAQUENTS","Entisols","Aquents","Cryaquents","Typic Cryaquents","sandy",NA,"mixed",NA,NA,NA,"wasilla, AK","AK","Alaska","State or Territory",2015,2020,2020
5588,"ACACIO","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, FRIGID TYPIC HAPLARGIDS","Aridisols","Argids","Haplargids","Typic Haplargids","fine-loamy",NA,"mixed","superactive",NA,"frigid","bozeman, mt","CO","Colorado","State or Territory",NA,1972,2003
5589,"ACADEMY","Tentative",FALSE,TRUE,"FINE-LOAMY, MIXED, ACTIVE, THERMIC MOLLIC HAPLOXERALFS","Alfisols","Xeralfs","Haploxeralfs","Mollic Haploxeralfs","fine-loamy",NA,"mixed","active",NA,"thermic","davis, ca","CA","California","State or Territory",1953,NA,2003
5590,"ACADIA","Established",FALSE,TRUE,"FINE, SMECTITIC, THERMIC AQUIC PALEUDALFS","Alfisols","Udalfs","Paleudalfs","Aquic Paleudalfs","fine",NA,"smectitic",NA,NA,"thermic","temple, tx","LA","Louisiana","State or Territory",NA,1903,2019
5591,"ACADIANA","Established",FALSE,FALSE,"FINE, MIXED, ACTIVE, THERMIC VERTIC PALEUDALFS","Alfisols","Udalfs","Paleudalfs","Vertic Paleudalfs","fine",NA,"mixed","active",NA,"thermic","temple, tx","LA","Louisiana","State or Territory",1995,2000,2014
5592,"ACAMPO","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, SUPERACTIVE, THERMIC TYPIC HAPLOXEROLLS","Mollisols","Xerolls","Haploxerolls","Typic Haploxerolls","coarse-loamy",NA,"mixed","superactive",NA,"thermic","davis, ca","CA","California","State or Territory",1990,1990,2003
5593,"ACANA","Established",FALSE,TRUE,"LOAMY, MIXED, SUPERACTIVE, MESIC, SHALLOW HAPLOXERALFIC ARGIDURIDS","Aridisols","Durids","Argidurids","Haploxeralfic Argidurids","loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","NV","Nevada","State or Territory",NA,1971,2008
5594,"ACANOD","Established",FALSE,FALSE,"FINE, ISOTIC, MESIC OXYAQUIC HUMUDEPTS","Inceptisols","Udepts","Humudepts","Oxyaquic Humudepts","fine",NA,"isotic",NA,NA,"mesic","bozeman, mt","OR","Oregon","State or Territory",1973,1983,2011
5595,"ACANTILADO","Established",FALSE,FALSE,"FINE-SILTY, MIXED, SUPERACTIVE, MESIC CALCIDIC HAPLUSTALFS","Alfisols","Ustalfs","Haplustalfs","Calcidic Haplustalfs","fine-silty",NA,"mixed","superactive",NA,"mesic","davis, ca","CO","Colorado","State or Territory",2002,2007,2008
5596,"ACASCO","Established",FALSE,TRUE,"CLAYEY OVER SANDY OR SANDY-SKELETAL, SMECTITIC, FRIGID TYPIC ENDOAQUOLLS","Mollisols","Aquolls","Endoaquolls","Typic Endoaquolls","clayey over sandy or sandy-skeletal",NA,"smectitic",NA,NA,"frigid","bozeman, mt","CO","Colorado","State or Territory",NA,1972,1999
5597,"ACCELERATOR","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, ACTIVE, THERMIC TYPIC HAPLOXERALFS","Alfisols","Xeralfs","Haploxeralfs","Typic Haploxeralfs","fine-loamy",NA,"mixed","active",NA,"thermic","davis, ca","CA","California","State or Territory",1985,1985,2003
2,"ACCOLA","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE CALCIC ARGICRYOLLS","Mollisols","Cryolls","Argicryolls","Calcic Argicryolls","fine-loamy",NA,"mixed","superactive",NA,NA,"bozeman, mt","MT","Montana","State or Territory",1995,1997,2005
5663,"ACEITUNAS","Established",TRUE,TRUE,"FINE, KAOLINITIC, ISOHYPERTHERMIC TYPIC PALEUDULTS","Ultisols","Udults","Paleudults","Typic Paleudults","fine",NA,"kaolinitic",NA,NA,"isohyperthermic","auburn, al","PR","Puerto Rico","State or Territory",NA,1969,2010
5664,"ACEL","Established",FALSE,TRUE,"FINE, SMECTITIC, FRIGID TORRERTIC HAPLUSTALFS","Alfisols","Ustalfs","Haplustalfs","Torrertic Haplustalfs","fine",NA,"smectitic",NA,NA,"frigid","bozeman, mt","MT","Montana","State or Territory",NA,1975,1998
5665,"ACHELAKE","Established",FALSE,FALSE,"ASHY, GLASSY, MESIC VITRANDIC HAPLOXEROLLS","Mollisols","Xerolls","Haploxerolls","Vitrandic Haploxerolls","ashy",NA,"glassy",NA,NA,"mesic","bozeman, mt","WA","Washington","State or Territory",1990,1998,1998
5666,"ACHIMIN","Established",FALSE,FALSE,"FINE, MIXED, SUPERACTIVE, MESIC TYPIC PALEXEROLLS","Mollisols","Xerolls","Palexerolls","Typic Palexerolls","fine",NA,"mixed","superactive",NA,"mesic","bozeman, mt","WA","Washington","State or Territory",NA,1987,2002
5667,"ACKELTON","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC XERIC CALCIARGIDS","Aridisols","Argids","Calciargids","Xeric Calciargids","fine-loamy",NA,"mixed","superactive",NA,"mesic","bozeman, mt","ID","Idaho","State or Territory",1993,1993,1999
5668,"ACKER","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC TYPIC PALEXERULTS","Ultisols","Xerults","Palexerults","Typic Palexerults","fine-loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","OR","Oregon","State or Territory",NA,1974,2000
5669,"ACKERMAN","Established",FALSE,TRUE,"SANDY, MIXED, MESIC HISTIC HUMAQUEPTS","Inceptisols","Aquepts","Humaquepts","Histic Humaquepts","sandy",NA,"mixed",NA,NA,"mesic","morgantown, wv","IN","Indiana","State or Territory",1978,1979,2021
5670,"ACKETT","Established",FALSE,TRUE,"CLAYEY-SKELETAL, SMECTITIC, MESIC, SHALLOW XERIC ARGIDURIDS","Aridisols","Durids","Argidurids","Xeric Argidurids","clayey-skeletal",NA,"smectitic",NA,NA,"mesic","davis, ca","ID","Idaho","State or Territory",1980,1986,2001
5671,"ACKLEY","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC XERIC HAPLARGIDS","Aridisols","Argids","Haplargids","Xeric Haplargids","fine-loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","NV","Nevada","State or Territory",NA,1981,2003
5672,"ACKMEN","Established",FALSE,TRUE,"FINE-SILTY, MIXED, SUPERACTIVE, MESIC CUMULIC HAPLUSTOLLS","Mollisols","Ustolls","Haplustolls","Cumulic Haplustolls","fine-silty",NA,"mixed","superactive",NA,"mesic","davis, ca","UT","Utah","State or Territory",NA,1952,2003
5673,"ACKMORE","Established",FALSE,TRUE,"FINE-SILTY, MIXED, SUPERACTIVE, NONACID, MESIC MOLLIC FLUVAQUENTS","Entisols","Aquents","Fluvaquents","Mollic Fluvaquents","fine-silty",NA,"mixed","superactive","nonacid","mesic","salina, ks","IA","Iowa","State or Territory",1973,1975,2022
5674,"ACKNA","Tentative",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC VITRANDIC ARGIXEROLLS","Mollisols","Xerolls","Argixerolls","Vitrandic Argixerolls","loamy-skeletal",NA,"mixed","superactive",NA,"mesic","bozeman, mt","WA","Washington","State or Territory",1997,NA,1997
5675,"ACKWATER","Established",FALSE,FALSE,"FINE, MIXED, SUBACTIVE, THERMIC AQUIC PALEUDULTS","Ultisols","Udults","Paleudults","Aquic Paleudults","fine",NA,"mixed","subactive",NA,"thermic","auburn, al","VA","Virginia","State or Territory",NA,1980,1997
5676,"ACME","Established",FALSE,TRUE,"FINE-SILTY, MIXED, SUPERACTIVE, THERMIC GYPSIC CALCIUSTOLLS","Mollisols","Ustolls","Calciustolls","Gypsic Calciustolls","fine-silty",NA,"mixed","superactive",NA,"thermic","temple, tx","TX","Texas","State or Territory",NA,1933,2005
5677,"ACO","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, SUPERACTIVE, HYPERTHERMIC TYPIC HAPLOCALCIDS","Aridisols","Calcids","Haplocalcids","Typic Haplocalcids","coarse-loamy",NA,"mixed","superactive",NA,"hyperthermic","davis, ca","CA","California","State or Territory",NA,1971,1998
5678,"ACOLITA","Inactive",FALSE,FALSE,"SANDY, MIXED, HYPERTHERMIC TYPIC TORRIORTHENTS","Entisols","Orthents","Torriorthents","Typic Torriorthents","sandy",NA,"mixed",NA,NA,"hyperthermic","davis, ca","CA","California","State or Territory",NA,NA,1987
5679,"ACOMA","Established",FALSE,TRUE,"FINE, SMECTITIC, MESIC CALCIC PALEARGIDS","Aridisols","Argids","Paleargids","Calcic Paleargids","fine",NA,"smectitic",NA,NA,"mesic","davis, ca","NV","Nevada","State or Territory",NA,1971,2009
