"soilseriesiid","soilseriesname","soilseriesstatus","benchmarksoilflag","statsgoflag","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxminalogy","taxceactcl","taxreaction","taxtempcl","mlraoffice","areasymbol","areaname","areatypename","originyear","establishedyear","soiltaxclasslastupdated"
17443,"PREAKNESS","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, ACTIVE, ACID, MESIC TYPIC HUMAQUEPTS","Inceptisols","Aquepts","Humaquepts","Typic Humaquepts","coarse-loamy",NA,"mixed","active","acid","mesic","morgantown, wv","NJ","New Jersey","State or Territory",NA,1971,2013
17444,"PREATORSON","Established",FALSE,TRUE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC TYPIC HAPLARGIDS","Aridisols","Argids","Haplargids","Typic Haplargids","loamy-skeletal",NA,"mixed","superactive",NA,"mesic","bozeman, mt","WY","Wyoming","State or Territory",NA,1972,2001
17445,"PREBISH","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, SUPERACTIVE, FRIGID TYPIC EPIAQUOLLS","Mollisols","Aquolls","Epiaquolls","Typic Epiaquolls","coarse-loamy",NA,"mixed","superactive",NA,"frigid","salina, ks","MN","Minnesota","State or Territory",NA,1970,2001
17446,"PREBLE","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, SUPERACTIVE, CALCAREOUS, MESIC OXYAQUIC TORRIORTHENTS","Entisols","Orthents","Torriorthents","Oxyaquic Torriorthents","coarse-loamy",NA,"mixed","superactive","calcareous","mesic","davis, ca","NV","Nevada","State or Territory",NA,1974,2003
17447,"PREDAWN","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC ARIDIC PALEUSTALFS","Alfisols","Ustalfs","Paleustalfs","Aridic Paleustalfs","fine-loamy",NA,"mixed","superactive",NA,"mesic","bozeman, mt","NM","New Mexico","State or Territory",1999,2008,2008
17448,"PREGO","Established",FALSE,FALSE,"COARSE-LOAMY, MIXED, SUPERACTIVE, FRIGID ARIDIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Aridic Argiustolls","coarse-loamy",NA,"mixed","superactive",NA,"frigid","bozeman, mt","MT","Montana","State or Territory",1990,1991,1998
17449,"PRELO","Established",FALSE,TRUE,"FINE-SILTY, GYPSIC, THERMIC TYPIC HAPLOGYPSIDS","Aridisols","Gypsids","Haplogypsids","Typic Haplogypsids","fine-silty",NA,"gypsic",NA,NA,"thermic","davis, ca","NM","New Mexico","State or Territory",NA,1976,2014
17450,"PREMIER","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, SUPERACTIVE, CALCAREOUS, THERMIC XERIC TORRIORTHENTS","Entisols","Orthents","Torriorthents","Xeric Torriorthents","coarse-loamy",NA,"mixed","superactive","calcareous","thermic","davis, ca","CA","California","State or Territory",NA,1982,2001
17451,"PREMONT","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, HYPERTHERMIC TYPIC HAPLUSTALFS","Alfisols","Ustalfs","Haplustalfs","Typic Haplustalfs","fine-loamy",NA,"mixed","superactive",NA,"hyperthermic","temple, tx","TX","Texas","State or Territory",2006,2007,2007
17452,"PRENTISS","Established",FALSE,TRUE,"COARSE-LOAMY, SILICEOUS, SEMIACTIVE, THERMIC GLOSSIC FRAGIUDULTS","Ultisols","Udults","Fragiudults","Glossic Fragiudults","coarse-loamy",NA,"siliceous","semiactive",NA,"thermic","auburn, al","MS","Mississippi","State or Territory",NA,1944,1997
17453,"PRESA","Established",TRUE,TRUE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE TYPIC HAPLOCRYALFS","Alfisols","Cryalfs","Haplocryalfs","Typic Haplocryalfs","loamy-skeletal",NA,"mixed","superactive",NA,NA,"bozeman, mt","NM","New Mexico","State or Territory",NA,1976,2022
17454,"PRESCOTT","Established",FALSE,FALSE,"FINE-SILTY, MIXED, ACTIVE, THERMIC OXYAQUIC HAPLUDALFS","Alfisols","Udalfs","Hapludalfs","Oxyaquic Hapludalfs","fine-silty",NA,"mixed","active",NA,"thermic","temple, tx","AR","Arkansas","State or Territory",1996,2016,2016
17455,"PRESHER","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC TYPIC HAPLOXEREPTS","Inceptisols","Xerepts","Haploxerepts","Typic Haploxerepts","fine-loamy",NA,"mixed","superactive",NA,"mesic","bozeman, mt","WA","Washington","State or Territory",1976,2003,2003
17456,"PRESNAL","Inactive",FALSE,FALSE,"COARSE-LOAMY, MIXED, FRIGID VITRANDIC EUTROCHREPTS","Inceptisols","Ochrepts","Eutrochrepts","Vitrandic Eutrochrepts","coarse-loamy",NA,"mixed",NA,NA,"frigid","bozeman, mt","ID","Idaho","State or Territory",1996,NA,2002
17457,"PRESQUE ISLE","Inactive",FALSE,FALSE,"FINE-LOAMY, MIXED, FRIGID ALFIC HAPLORTHODS","Spodosols","Orthods","Haplorthods","Alfic Haplorthods","fine-loamy",NA,"mixed",NA,NA,"frigid",NA,"ME","Maine","State or Territory",NA,NA,1987
17458,"PRESTO","Established",FALSE,TRUE,"SANDY OVER LOAMY, MIXED, SUPERACTIVE, MESIC XERIC HAPLOCALCIDS","Aridisols","Calcids","Haplocalcids","Xeric Haplocalcids","sandy over loamy",NA,"mixed","superactive",NA,"mesic","bozeman, mt","ID","Idaho","State or Territory",NA,1972,2023
17459,"PRESTON","Established",FALSE,TRUE,"MIXED, MESIC TYPIC XEROPSAMMENTS","Entisols","Psamments","Xeropsamments","Typic Xeropsamments",NA,NA,"mixed",NA,NA,"mesic","davis, ca","UT","Utah","State or Territory",NA,1913,1995
17460,"PREUSS","Established",FALSE,TRUE,"LOAMY-SKELETAL, CARBONATIC, FRIGID TYPIC CALCIXEREPTS","Inceptisols","Xerepts","Calcixerepts","Typic Calcixerepts","loamy-skeletal",NA,"carbonatic",NA,NA,"frigid","bozeman, mt","ID","Idaho","State or Territory",1996,2008,2008
17461,"PREUSSRANGE","Established",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID CALCIC HAPLOXERALFS","Alfisols","Xeralfs","Haploxeralfs","Calcic Haploxeralfs","loamy-skeletal",NA,"mixed","superactive",NA,"frigid","bozeman, mt","ID","Idaho","State or Territory",1996,2008,2008
17462,"PREWITT","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, MESIC FLUVENTIC HAPLUSTOLLS","Mollisols","Ustolls","Haplustolls","Fluventic Haplustolls","fine-loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","NM","New Mexico","State or Territory",NA,1956,2006
17463,"PREY","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, SUPERACTIVE, MESIC HAPLOXERALFIC ARGIDURIDS","Aridisols","Durids","Argidurids","Haploxeralfic Argidurids","coarse-loamy",NA,"mixed","superactive",NA,"mesic","davis, ca","NV","Nevada","State or Territory",NA,1975,2003
17464,"PRICE","Established",FALSE,TRUE,"FINE, MIXED, SUPERACTIVE, MESIC HUMIC HAPLOXEREPTS","Inceptisols","Xerepts","Haploxerepts","Humic Haploxerepts","fine",NA,"mixed","superactive",NA,"mesic","bozeman, mt","OR","Oregon","State or Territory",NA,1970,2011
17465,"PRICECREEK","Established",FALSE,FALSE,"FINE, SMECTITIC, FRIGID SODIC USTIC HAPLOCAMBIDS","Aridisols","Cambids","Haplocambids","Sodic Ustic Haplocambids","fine",NA,"smectitic",NA,NA,"frigid","bozeman, mt","CO","Colorado","State or Territory",1988,1992,1999
24852,"PRICEPEET","Established",FALSE,FALSE,"CLAYEY-SKELETAL, SMECTITIC EUTRIC HAPLOCRYALFS","Alfisols","Cryalfs","Haplocryalfs","Eutric Haplocryalfs","clayey-skeletal",NA,"smectitic",NA,NA,NA,"bozeman, mt","MT","Montana","State or Territory",2010,2011,2012
30082,"PRICES CREEK","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, ACTIVE, NONACID, THERMIC GROSSIC HYDROWASSENTS","Entisols","Wassents","Hydrowassents","Grossic Hydrowassents","fine-loamy",NA,"mixed","active","nonacid","thermic",NA,"NC","North Carolina","State or Territory",2024,2024,2024
17466,"PRICETOWN","Established",FALSE,FALSE,"FINE-SILTY, SILICEOUS, SEMIACTIVE, MESIC TYPIC PALEUDULTS","Ultisols","Udults","Paleudults","Typic Paleudults","fine-silty",NA,"siliceous","semiactive",NA,"mesic","auburn, al","KY","Kentucky","State or Territory",1988,NA,2001
17467,"PRIDA","Established",FALSE,TRUE,"FINE-SILTY, MIXED, SUPERACTIVE, CALCAREOUS, MESIC OXYAQUIC TORRIORTHENTS","Entisols","Orthents","Torriorthents","Oxyaquic Torriorthents","fine-silty",NA,"mixed","superactive","calcareous","mesic","davis, ca","NV","Nevada","State or Territory",NA,1974,2008
17468,"PRIDEEN","Established",FALSE,FALSE,"FINE-SILTY, MIXED, SUPERACTIVE, CALCAREOUS, MESIC AQUIC TORRIORTHENTS","Entisols","Orthents","Torriorthents","Aquic Torriorthents","fine-silty",NA,"mixed","superactive","calcareous","mesic","davis, ca","NV","Nevada","State or Territory",1993,1993,2001
17469,"PRIDHAM","Established",FALSE,FALSE,"FINE, MIXED, SUPERACTIVE, THERMIC TYPIC NATRAQUOLLS","Mollisols","Aquolls","Natraquolls","Typic Natraquolls","fine",NA,"mixed","superactive",NA,"thermic","davis, ca","AZ","Arizona","State or Territory",NA,1971,2003
17470,"PRIESTGRADE","Established",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, THERMIC LITHIC MOLLIC HAPLOXERALFS","Alfisols","Xeralfs","Haploxeralfs","Lithic Mollic Haploxeralfs","loamy-skeletal",NA,"mixed","superactive",NA,"thermic","davis, ca","CA","California","State or Territory",2009,2018,2018
17471,"PRIESTLAKE","Established",FALSE,TRUE,"SANDY-SKELETAL, MIXED TYPIC DYSTROCRYEPTS","Inceptisols","Cryepts","Dystrocryepts","Typic Dystrocryepts","sandy-skeletal",NA,"mixed",NA,NA,NA,"bozeman, mt","ID","Idaho","State or Territory",NA,1981,2005
17472,"PRIETA","Established",FALSE,TRUE,"CLAYEY-SKELETAL, MIXED, SUPERACTIVE, MESIC LITHIC USTIC HAPLARGIDS","Aridisols","Argids","Haplargids","Lithic Ustic Haplargids","clayey-skeletal",NA,"mixed","superactive",NA,"mesic","davis, ca","NM","New Mexico","State or Territory",NA,1937,2005
17473,"PRIETO","Established",FALSE,FALSE,"VERY-FINE, MIXED, SEMIACTIVE, NONACID, ISOHYPERTHERMIC VERTIC EPIAQUEPTS","Inceptisols","Aquepts","Epiaquepts","Vertic Epiaquepts","very-fine",NA,"mixed","semiactive","nonacid","isohyperthermic","auburn, al","PR","Puerto Rico","State or Territory",1992,1992,2002
17474,"PRILL","Established",FALSE,FALSE,"FINE, SMECTITIC, MESIC PACHIC PALEXEROLLS","Mollisols","Xerolls","Palexerolls","Pachic Palexerolls","fine",NA,"smectitic",NA,NA,"mesic","bozeman, mt","OR","Oregon","State or Territory",1992,1993,1997
17475,"PRIM","Established",FALSE,TRUE,"LOAMY-SKELETAL, CARBONATIC, THERMIC, SHALLOW TYPIC HAPRENDOLLS","Mollisols","Rendolls","Haprendolls","Typic Haprendolls","loamy-skeletal",NA,"carbonatic",NA,NA,"thermic","auburn, al","AL","Alabama","State or Territory",1977,1984,2004
17476,"PRIMEAUX","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE XERIC ARGICRYOLLS","Mollisols","Cryolls","Argicryolls","Xeric Argicryolls","fine-loamy",NA,"mixed","superactive",NA,NA,"davis, ca","NV","Nevada","State or Territory",NA,1979,2001
17477,"PRIMEN","Established",FALSE,FALSE,"CLAYEY, SMECTITIC, MESIC, SHALLOW ARIDIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Aridic Argiustolls","clayey",NA,"smectitic",NA,NA,"mesic","bozeman, mt","CO","Colorado","State or Territory",NA,1980,1997
17478,"PRIMGHAR","Established",TRUE,TRUE,"FINE-SILTY, MIXED, SUPERACTIVE, MESIC AQUIC HAPLUDOLLS","Mollisols","Udolls","Hapludolls","Aquic Hapludolls","fine-silty",NA,"mixed","superactive",NA,"mesic","salina, ks","IA","Iowa","State or Territory",NA,1970,2022
17479,"PRIMUS","Established",FALSE,FALSE,"ASHY OVER SANDY OR SANDY-SKELETAL, GLASSY OVER ISOTIC XERIC VITRICRYANDS","Andisols","Cryands","Vitricryands","Xeric Vitricryands","ashy over sandy or sandy-skeletal",NA,"glassy over isotic",NA,NA,NA,"bozeman, mt","WA","Washington","State or Territory",2009,2011,2011
24822,"PRINCESS","Tentative",FALSE,FALSE,"SANDY, MIXED, THERMIC ARENIC HAPLARGIDS","Aridisols","Argids","Haplargids","Arenic Haplargids","sandy",NA,"mixed",NA,NA,"thermic","davis, ca","CA","California","State or Territory",2010,NA,2010
30390,"PRINCESS ANNE","Tentative",FALSE,FALSE,"FINE-SILTY, MIXED, ACTIVE, NONACID, THERMIC FLUVENTIC SULFIWASSENTS","Entisols","Wassents","Sulfiwassents","Fluventic Sulfiwassents","fine-silty",NA,"mixed","active","nonacid","thermic",NA,"NC","North Carolina","State or Territory",2025,NA,2025
17480,"PRINCETON","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, ACTIVE, MESIC TYPIC HAPLUDALFS","Alfisols","Udalfs","Hapludalfs","Typic Hapludalfs","fine-loamy",NA,"mixed","active",NA,"mesic","salina, ks","IN","Indiana","State or Territory",NA,1922,2022
